ID,Reached_3w,Reached_3m,Tenure_In_Months,Date_Joined,FUA_Balance,Number_Of_Services,Has_Payroll,Income,Has_Investment,Has_Visa,VISA_balance,Has_mortgage,Has_Deposit,Number_Transactions,Age,City
1573059,0,1,6,8/14/2020,24696.03957,1,0,NA,0,1,98.51283629,0,1,12,35,VANCOUVER                                                                                           
6675895,0,0,6,4/21/2020,486164.0896,1,0,NA,0,0,0,0,1,7,35,VANCOUVER                                                                                           
3713743,0,0,6,4/21/2020,34115.89139,3,0,NA,0,1,1739.287356,0,1,6,37,COQUITLAM                                                                                           
9865193,0,1,6,7/10/2020,410365.4166,3,0,NA,0,1,2083.125272,0,1,0,52,ABBOTSFORD                                                                                          
2529862,0,0,6,3/23/2020,1020782.386,2,1,NA,0,1,1599.142398,0,1,0,52,LANGLEY                                                                                             
5011118,0,0,6,6/11/2020,8254.629683,4,0,NA,0,1,0,0,1,11,58,RICHMOND                                                                                            
5884032,1,0,6,6/24/2020,82379.79667,2,1,NA,0,1,0,0,1,19,42,VICTORIA                                                                                            
497414,1,0,6,4/3/2020,15127.83547,1,1,NA,0,0,0,0,1,0,67,CAMPBELL RIVER                                                                                      
7643035,0,0,6,12/20/2020,36903.84496,1,0,NA,0,1,0,0,1,8,63,GLENDALE                                                                                            
2473115,0,1,6,7/24/2020,13195.86003,6,1,NA,0,1,2490.050477,0,1,24,61,MISSION                                                                                             
2744787,1,0,6,5/1/2020,466522.4298,4,1,NA,1,1,483.8313215,0,1,41,54,PORT COQUITLAM                                                                                      
7266409,0,0,6,4/23/2020,903425.0071,2,0,NA,0,0,0,0,1,4,65,PORT COQUITLAM                                                                                      
3921630,0,0,6,8/19/2020,37728.54769,1,1,139583.1796,0,0,0,0,1,0,35,ROSEDALE                                                                                            
2096361,0,0,6,8/7/2020,15608.55258,1,0,NA,0,0,0,0,1,0,88,VANCOUVER                                                                                           
7363583,0,0,6,12/12/2020,30478.53267,1,1,NA,0,1,608.3133482,0,1,14,67,BURNABY                                                                                             
9953053,0,0,6,1/15/2021,13639.62218,1,1,NA,1,1,0,0,1,12,45,BURNABY                                                                                             
2277066,1,0,6,12/16/2020,9176.035099,4,0,NA,0,1,0,0,1,32,50,WEST VANCOUVER                                                                                      
9586339,0,0,6,12/4/2020,595225.4586,3,0,NA,0,1,0,0,1,3,44,NEW WESTMINSTER                                                                                     
7983306,0,1,6,7/28/2020,10070.81806,4,1,NA,0,1,0,0,1,11,50,VANCOUVER                                                                                           
2805533,0,0,6,1/14/2021,36118.9328,1,1,NA,0,1,1690.169313,0,1,0,68,ABBOTSFORD                                                                                          
7483687,0,0,6,3/30/2020,205502.7162,2,0,NA,0,1,1891.337953,0,1,3,41,SQUAMISH                                                                                            
479159,0,0,6,3/21/2020,683504.0272,1,1,NA,0,0,0,0,1,32,63,BURNABY                                                                                             
