,ID,Reached_3w,Reached_3m,Tenure_In_Months,Date_Joined,FUA_Balance,Number_Of_Services,Has_Payroll,Income,Has_Investment,Has_Visa,VISA_balance,Has_mortgage,Has_Deposit,Number_Transactions,Age,City,Unnamed: 17
5936,8446287,0,0,3,2/2/2021,26263.77,3,1,203593.9521,0,1,0,0,1,1,54,NORTH VANCOUVER                                                                                     ,
5937,8446775,1,0,3,6/3/2020,2546.75,4,1,,0,1,0,0,1,35,57,BURNABY                                                                                             ,
5938,8447469,0,0,3,12/11/2020,5.38,1,1,,0,1,414.7194602,0,1,66,50,VANCOUVER                                                                                           ,
5939,8448069,0,0,3,7/29/2020,801.1,2,1,,0,0,0,0,1,0,67,VANCOUVER                                                                                           ,
5940,8451152,0,1,3,8/11/2020,27.57,1,1,227519.3489,1,1,0,0,1,0,61,NORTH VANCOUVER                                                                                     ,
5941,8451855,0,1,3,7/4/2020,13876.82,3,0,,0,0,0,0,1,5,46,RICHMOND                                                                                            ,
5942,8451882,1,0,3,4/2/2020,2424.07,2,1,,0,1,2040.421571,0,1,20,59,COQUITLAM                                                                                           ,
5943,8452631,1,0,3,12/15/2020,3.2,1,1,,1,0,0,0,1,7,68,VANCOUVER                                                                                           ,
5944,8454297,1,0,3,12/9/2020,975197.04,2,1,,0,0,0,0,1,4,64,SURREY                                                                                              ,
5945,8456567,0,0,3,2/16/2021,14.3,2,0,,1,0,0,0,1,0,49,RICHMOND                                                                                            ,
5946,8457040,0,0,3,9/17/2020,11389.16,3,0,,1,0,0,0,1,31,52,SURREY                                                                                              ,
5947,8457448,0,0,3,8/21/2020,64,1,0,,0,1,669.1221689,0,1,2,65,VANCOUVER                                                                                           ,
5948,8458535,0,0,3,1/5/2021,8.04,1,0,,0,1,473.6008494,0,1,1,35,NEW WESTMINSTER                                                                                     ,
5949,8462341,1,0,3,5/8/2020,3069.34,3,0,,0,1,0,0,1,0,51,VANCOUVER                                                                                           ,
5950,8465892,1,0,3,1/7/2021,933504.39,2,1,,0,0,0,0,1,0,62,VANCOUVER                                                                                           ,
5951,8467003,0,0,3,6/17/2020,480183.4625,1,1,,0,1,1766.034479,1,1,0,63,COQUITLAM                                                                                           ,
5952,8467581,0,1,3,7/17/2020,150.03,1,0,,0,0,0,0,1,0,60,BURNABY                                                                                             ,
5953,8468765,0,0,3,8/6/2020,92.36,1,1,,0,1,452.10375,0,1,0,35,CHILLIWACK                                                                                          ,
5954,8468881,0,0,3,12/9/2020,1408.53,2,0,,1,1,129.4423233,0,1,0,61,VANCOUVER                                                                                           ,
5955,8468940,0,1,3,5/11/2020,466104.5114,1,0,,0,1,0,1,1,14,49,SURREY                                                                                              ,
5956,8469047,0,0,3,1/11/2021,21226.33,5,1,,0,0,0,0,1,13,37,RICHMOND                                                                                            ,
5957,8469259,0,0,3,12/23/2020,8204.3,1,0,,0,0,0,0,1,0,79,SURREY                                                                                              ,
5958,8470039,1,0,3,12/17/2020,358022.8,4,0,,1,1,1675.832255,0,1,1,39,PITT MEADOWS                                                                                        ,
5959,8470300,1,0,3,6/24/2020,199717.64,2,1,,0,1,943.5384542,0,1,22,57,SURREY                                                                                              ,
5960,8472563,0,0,3,8/7/2020,218647.53,2,0,,1,1,0,0,1,3,45,LANGLEY                                                                                             ,
5961,8473379,0,0,3,8/20/2020,50255.86,1,0,,0,1,0,0,1,3,48,VANCOUVER                                                                                           ,
5962,8473762,0,0,3,1/6/2021,584035.43,3,0,,0,1,621.0483349,0,1,2,57,BURNABY                                                                                             ,
5963,8474340,0,0,3,8/1/2020,6.66,1,0,,1,1,0,0,1,2,45,VANCOUVER                                                                                           ,
